Model;acc;val_acc;test_acc
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.997066411566227;0.9934240632410386;0.9057786483956131
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.998114121721146;0.9905014241576815;0.8325171400821174
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9985976802541855;0.9958900389839868;0.8828599412691115
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9978239866013222;0.9945200524196003;0.9012732615083252
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9987427478140973;0.9964380342673576;0.8268364348911281
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9995164414669605;0.9967120310761349;0.806072477986133
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9991295946405289;0.9969860287178204;0.8311459353691684
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9995809159380324;0.9976253556229664;0.9165523996082272
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9982914265165937;0.9729655778498418;0.8507345739587864
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9975499700992665;0.9958900389839868;0.9288932419313624
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.997034174138542;0.993424062707542;0.8054848188284445
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9982914265165937;0.9978993535422878;0.7960822723171036
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9996131531735684;0.9970773611725036;0.8168462291987473
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9990651201694569;0.9968033635308181;0.8248775710321664
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9993068994359767;0.9974426912470967;0.9046033300685602
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9991940691116008;0.9978080210658293;0.8519098922858392
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.9978562238368582;0.9905014241359061;0.8844270323329294
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.9985493244008815;0.9965293664444047;0.9267384916865044
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.9967601562914428;0.9962553690803553;0.9375122429107943
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.9987588664318653;0.9950680474253352;0.8029382958234699
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.9986460361074894;0.9938807255144544;0.8227228207873084
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.9985976802541855;0.9971686933495506;0.7888344760155934
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.9992101877293689;0.9950680471694745;0.8611165524346355
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.9981947148099859;0.9959813719721665;0.9210577864955151
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9988072222851693;0.9966206985996764;0.9049951028403526
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9971308860372989;0.9931500656211286;0.901469147905897
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9988555781384731;0.9971686939048227;0.843486777668952
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9985009685475775;0.9968033640643148;0.9386875612261714
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9987749850496332;0.9965293667002654;0.9038197845366512
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9990651201694569;0.9968946959855012;0.9263467189030362
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9994358483781206;0.9963467012574024;0.8360430950282486
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9995486787024964;0.9968033637866788;0.8225269343897365
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.999049001551689;0.9960727044268497;0.9529872673965925
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.999032882933921;0.9960727044268497;0.9365328109813134
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9989684084628491;0.9965293664444047;0.800783545578612
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9989361712273132;0.9948853825159689;0.8953966699431155
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9993874925248166;0.9961640366256721;0.8444662096451359
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9985332057831136;0.992328073784841;0.8193927522387491
