Model;acc;val_acc;test_acc
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9764156512543135;0.9723183454326079;0.7190895742081685
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9752603622590205;0.9648368058721488;0.7011747430074583
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9684771709652576;0.9644627359008628;0.719970631476891
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: SGD;0.9529468028194505;0.9474422513775302;0.7314243759702831
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: SGD;0.9454044288945653;0.9489385548302827;0.7024963288930369
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adam;0.9713488872549277;0.9666136775796723;0.7256975037235871
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adam;0.9720255562352567;0.9650238478840384;0.7315712187433733
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9751448318414128;0.9694192514700049;0.7417033774387118
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9713488850868064;0.9647432874331112;0.705286343682355
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9679655423414784;0.9630599481390801;0.7052863435598197
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9727847459885198;0.9687646176252487;0.7058737151948365
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9376805119431754;0.9296736201445782;0.7240822319417273
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9387862858743395;0.9330403065364844;0.7459618209217088
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9641695953419255;0.9623117902811122;0.7199706313718608
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adamax;0.966859765952979;0.9626858653081742;0.7066079294629034
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9776534581058077;0.9717572312197627;0.7114537445634123
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9800465541454044;0.9722248286268034;0.7157121879063689
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9740225525950675;0.9666136759464393;0.7546255507133081
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9696819712717836;0.9641821765647706;0.7148311306376465
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: SGD;0.9570068120828538;0.9525858005582812;0.7243759178205034
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: SGD;0.9562641280412111;0.9430468489063987;0.6950073422314312
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adam;0.9740720646067099;0.9587580568995788;0.7177679881825496
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adam;0.973065314065314;0.9683905409649537;0.7066079295679336
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9746992225640362;0.9697933264970668;0.7236417033248711
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9695994497069539;0.9633405074751724;0.7164464024195062
