Model;acc;val_acc;test_acc
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.937730995784633;0.929893779826996;0.92793115812119
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.93599014375709;0.920030348941299;0.926599395584695
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.944908667986136;0.923368740787275;0.926087179224504
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.933499383437269;0.92412746929435;0.925933514316447
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.932803044826665;0.925796657303215;0.925677406136352
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.932936957112479;0.927010624470226;0.925318854684219
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.94606030994315;0.924886195902035;0.9252676330482
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.935641973209826;0.923672234161852;0.924652973415971
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.941078791934297;0.92534142488413;0.924499308507914
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.937463174967628;0.927465860507195;0.92414075705578
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.945256839695546;0.925341427235755;0.924089535419761
model : layers: [40, 20] ['relu', 'relu'] optimizer: RMSprop;0.935722319313171;0.921244308329859;0.923884648875685
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.933285127002046;0.918816389643187;0.923782205603647
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.933847555766064;0.925948412175967;0.922194334887056
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.932454873359901;0.921244314118474;0.922143113251037
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.936713266866911;0.91305007757294;0.922091891615018
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.929160640953477;0.926251898043434;0.921938226706961
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adam;0.92519685231571;0.918361155596054;0.921221123802694
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.927419790669153;0.917298938688993;0.920196691082313
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adamax;0.931517491426713;0.92427921078093;0.920145469446294
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.934999196088412;0.91502276465455;0.919940582902218
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.930928277429154;0.917602423561542;0.918608820365722
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.93266912927152;0.915933237994748;0.917533166009322
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.927393007370392;0.918209405064764;0.91655995492496
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.934490332268092;0.912291347256922;0.915279414024484
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.938025603546469;0.915933236185806;0.915023305844389
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.93181209393016;0.912291350874807;0.914050094760027
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.927151965305734;0.914719273631598;0.913537878399836
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.918340566551764;0.916084977581939;0.911437791323055
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.928169694134059;0.909863423414766;0.911079239870921
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.922866787561307;0.906525038804559;0.911028018234902
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: SGD;0.927018053396659;0.90849772461991;0.910515801874712
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.92495581085128;0.911077396641733;0.910157250422578
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.919947506689388;0.910015172227561;0.90897915279414
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: SGD;0.913519740072748;0.907587255078491;0.908723044614045
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adam;0.921956186730296;0.907890745106525;0.908671822978026
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.927446571790487;0.90804249174859;0.908671822978026
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: SGD;0.912100274310356;0.908042484784162;0.908159606617835
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.920724195515543;0.911684376516907;0.907698611893664
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.921956187426306;0.90349013472544;0.90682784408134
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.923268522694687;0.907587254626255;0.90575218972494
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.921929404746931;0.899999993795328;0.905547303180864
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adadelta;0.930633673460254;0.906069804395638;0.905496081544844
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.916680060474317;0.902427925325489;0.904369205552425
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: SGD;0.926750229948864;0.904097112610778;0.904317983916406
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.917001447550415;0.907435506356142;0.904317983916406
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.916278326337061;0.908194234591876;0.902832556471854
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: SGD;0.920188548434776;0.901669190487116;0.901449572299339
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: SGD;0.903637042553361;0.90273141137385;0.901244685755263
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.915501633960616;0.903034905200663;0.900681247759053
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adagrad;0.921045587457327;0.899241275327882;0.900630026123034
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.906422410743571;0.901213960510103;0.900271474670901
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.912100271794503;0.902579663736867;0.899554371766634
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.915662331122388;0.899848261805695;0.898581160682272
model : layers: [40, 10] ['relu', 'relu'] optimizer: Adamax;0.903797740111028;0.896965103283276;0.897300619781796
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.916305104412553;0.901820942375113;0.895610305793167
